binary_label,text,frequency
0,,1
0,"The 25-minute-long game of heated taunts was initiated brilliantly by Minhaj . "" No one wanted to do this . So of course , it landed in the hands of an immigrant . That 's how it always goes down . And I 'll be known in a few weeks , no. 830-287 , "" he said .",1
0,"The 12-member jury , comprising eight women and four men , started deliberations at about 12:30 pm and returned the verdict just over three hours later .",1
0,The 14-year-old swimmer from Portarlington was reflecting with pride after reaching the final of the S6 women 's 50m butterfly final .,1
0,The 16-bed homeless shelter in Wagga is operated by St Vincent de Paul and open to anyone in the eastern Riverina . <h> Homelessness different in the country,1
0,"The 17 stories in At The End of the Century , drawn from past collections , chronicle Jhabvala 's concern with cultural encounters , dislocation and the immigrant experience . Misogyny -- and sensuality -- bubble up through impeccably constructed prose . In The Widow , Durga fails to seduce a teenager -- whom she describes as "" a young animal full of sap and sperm "" -- renting one of her rooms with his family . Shamed into spirituality , urged to pray to Krishna "" as a son and as a lover "" , Durga duly renounces her widow 's fortune and her relatives move in , happily reaping the benefits .",1
0,"The 20 recommendations by an expert panel include a call for the Government to set up a dedicated disability office , comprising relevant government agencies , to meet the disabled 's needs more comprehensively and across their different life stages .",1
0,"The 20 shelters across all the 15 zones in the city are nearing completion . A majority of the urban homeless are families who live on pavements , roadsides , under flyovers and near railway stations . More shelters are being constructed in Tiruvottiyur , Manali , Madhavaram , Thiru-vi-ka Nagar , Teynampet and Royapuram where clusters of such people live .",1
0,"The 2010 earthquake killed approximately 300,000 people and left about 1 million homeless in Haiti . You were there a few months ago . How is the situation on the ground ?",1
0,"The 2013 National College Health Assessment Survey , conducted at four Alberta institutions , found more than half of students reported feeling hopeless , 8.4 per cent seriously considered suicide and 1.1 per cent attempted suicide .",1
0,"The 2015 study states that 97% of women see sexual harassment as a form of violence . In addition , another 85% of women feel disparaging remarks are insulting and offensive .",1
0,The 2016 class from Zandspruit is determined to be businessmen and women .,1
0,"The 2017 South-Asian monsoon floods inundated the northern floodplains of the country , leaving 320,000 people still in need of support to repair their homes and replace their belongings once the flood water receded , said a statement by the UNDP .",1
0,"The 2017 hurricane season has dealt a stinging blow to several small Caribbean island nations and the southeastern United States . The death toll attributed to Hurricane Irma alone has risen to 70 , with billions of dollars in damages , even while Hurricane Maria delivered a steely punch as a category 5 monster . Many have been left homeless , and stunned - lives interrupted , businesses disrupted and overwhelmed governments in small states like Dominica , Barbuda , and Anguilla grappling with the task of relief and recovery .",1
0,"The 2030 Agenda for Sustainable Development recognises the positive contribution of migrants for inclusive growth and sustainable development . It further recognises that international migration is a multi-dimensional reality of major relevance for the development of countries of origin , transit and destination , which requires coherent and",1
0,The 21-year old was kept on life support until his organs could be donated to help six people in need .,1
0,"The 22-page filing says the charity , called the 20th Ward Activities Fund , was ostensibly used to help feed poor families , buy winter coats for children and , among other things , to cover the cost of a Valentine 's Day party for senior citizens .",1
0,The 23-strong front bench team was officially sworn in on Monday and features a minister for women who 's privately opposed to abortion and a multiculturalism minister who believes all non-indigenous Australians are essentially immigrants .,1
0,"The 24-year-old from Ottawa has won four World Cup medals in as many races this season , including two gold . Blondin leads the overall standings for the women 's World Cup mass start .",1
0,The 11th US Circuit Court of Appeals also blocked a part of the Alabama law that allows authorities to charge immigrants who do not carry documents proving their legal status . The three-judge panel let stand a provision that allows police to detain immigrants that are suspected of being in the country illegally .,1
